,year,artist,song,points,duration
0,2009,Alice In Chains,Check My Brain,3782,237.906
1,2009,Breaking Benjamin,I Will Not Bow,3785,216.733
2,2009,Three Days Grace,Break,3810,99.213
3,2009,Muse,Uprising,3815,304.84
4,2009,Chevelle,Jars,3830,199.8
5,2009,Pearl Jam,The Fixer,3854,177.56
6,2009,Weezer,(If You're Wondering If I Want You To) I Want You To,3857,208.773
7,2009,Sick Puppies,You're Going Down,3884,187.346
8,2009,Rise Against,Savior,3909,242.28
9,2009,Linkin Park,New Divide,3910,268.613
10,2009,Kings Of Leon,Use Somebody,3925,230.76
11,2009,Creed,Overcome,3951,214.723
12,2009,Shinedown,If You Only Knew,3976,226.64
13,2009,Foo Fighters,Wheels,3981,207.34
14,2009,AFI,Medicate,4057,331.013
15,2009,Phoenix,1901,4066,193.106
16,2009,Cage The Elephant,Back Against The Wall,4121,228.32
17,2009,Death Cab For Cutie,Meet Me On The Equinox,4147,224.133
18,2009,Flyleaf,Again,4166,312.24
19,2009,Five Finger Death Punch,Hard To See,4199,209.493
20,2009,Adelitas Way,Invincible,4231,127.546
21,2009,Dead By Sunrise,Crawl Back In,4244,182.76
22,2009,David Gray,Fugitive,4269,347.911
23,2009,Thirty Seconds To Mars,Kings And Queens,4277,347.666
24,2009,Silversun Pickups,Panic Switch,4291,343.906
25,2009,Skillet,Monster,4306,178.013
26,2009,Green Day,East Jesus Nowhere,4325,274.706
27,2009,Owl City,Fireflies,4373,228.346
28,2009,Paramore,Ignorance,4403,218.626
29,2009,Pearl Jam,Just Breathe,4480,215.853
30,2009,All That Remains,Forever In Your Hands,4486,216.573
31,2009,Slipknot,Snuff,4490,276.146
32,2009,Silversun Pickups,Substitution,4539,181.477
33,2009,Shinedown,Sound Of Madness,4554,233.986
34,2009,Puddle Of Mudd,Spaceship,4571,324.226
35,2009,Ingrid Michaelson,Maybe,4583,170.133
36,2009,Them Crooked Vultures,New Fang,4586,228.639
37,2009,U2,I'll Go Crazy If I Don't Go Crazy Tonight,4594,253.946
38,2009,Dave Matthews Band,Why I Am,4598,233.533
39,2009,The Bravery,Slow Poison,4632,212.24
40,2009,Metallica,"Broken, Beat & Scarred",4650,385.466
41,2009,Cavo,Crash,4656,190.733
42,2009,Nickelback,Burn It To The Ground,4663,212.346
43,2009,Kings Of Leon,Notion,4667,195.12
44,2009,Godsmack,Whiskey Hangover,4669,227.306
45,2009,John Mayer,Who Says,4684,195.613
46,2009,Atreyu,Storm To Pass,4702,227.706
47,2009,Train,"Hey, Soul Sister",4708,216.773
48,2009,Theory Of A Deadman,By The Way,4730,216.933
49,2009,Cage The Elephant,Ain't No Rest For The Wicked,4759,175.493
50,2009,Jet,She's A Genius,4774,178.84
51,2009,Cavo,Champagne,4776,244.0
52,2009,Green Day,21 Guns,4779,321.093
53,2009,The Used,Blood On My Hands,4794,197.866
54,2009,Switchfoot,Mess Of Me,4799,208.013
55,2009,Snow Patrol,Just Say Yes,4805,281.986
56,2009,Franz Ferdinand,No You Girls,4811,223.786
57,2009,Halestorm,I Get Off,4813,183.706
58,2009,Mudvayne,Scream With Me,4825,172.586
59,2009,Norah Jones,Chasing Pirates,4845,160.906
60,2009,Janus,Eyesore,4849,130.044
61,2009,Anberlin,Breaking,4888,196.906
62,2009,Matisyahu,One Day,4948,165.508
63,2009,Buckcherry,Talk To Me,4969,227.705
64,2009,Anberlin,Feel Good Drag,5018,187.853
65,2009,Sick Puppies,Odd One,5023,227.04
66,2009,Kings Of Leon,Crawl,5025,208.96
67,2009,Alice In Chains,Your Decision,5028,283.173
68,2009,The Veer Union,Seasons,5045,256.0
69,2009,Nickelback,Shakin' Hands,5059,219.84
70,2009,Chevelle,Letter From A Thief,5064,207.026
71,2009,Halestorm,It's Not You,5081,174.92
72,2009,Michael Franti & Spearhead,Say Hey (I Love You),5093,235.76
73,2009,KISS,Modern Day Delilah,5099,215.16
74,2009,Metric,Help I'm Alive,5118,286.013
75,2009,Rev Theory,Far From Over,5138,238.973
76,2009,Wilco,You Never Know,5144,231.201
77,2009,Five Finger Death Punch,Walk Away,5144,160.56
78,2009,Red,Forever,5147,232.533
79,2009,Coldplay,Life In Technicolor ii,5198,245.099
80,2009,Manchester Orchestra,Shake It Out,5200,277.72
81,2009,Vampire Weekend,Cousins,5200,177.449
82,2009,Hockey,Too Fake,5200,247.413
83,2009,Metallica,All Nightmare Long,5201,477.013
84,2009,Thousand Foot Krutch,Fire It Up,5201,299.986
85,2009,White Rabbits,Percussion Gun,5201,188.306
86,2010,The Dirty Heads Featuring Rome,Lay Me Down,1186,219.535
87,2010,Rise Against,Savior,1468,242.28
88,2010,Phoenix,Lisztomania,1475,241.64
89,2010,Neon Trees,Animal,2149,212.293
90,2010,Muse,Uprising,2184,304.84
91,2010,Breaking Benjamin,I Will Not Bow,2401,216.733
92,2010,Phoenix,1901,2423,193.106
93,2010,Muse,Resistance,2567,142.668
94,2010,Three Days Grace,The Good Life,2622,173.173
95,2010,Avenged Sevenfold,Nightmare,2712,374.453
96,2010,Alice In Chains,Your Decision,2810,283.173
97,2010,The Black Keys,Tighten Up,2812,211.08
98,2010,Mumford & Sons,Little Lion Man,2881,247.002
99,2010,Shinedown,The Crow & The Butterfly,2935,253.6
100,2010,Weezer,(If You're Wondering If I Want You To) I Want You To,2940,208.773
101,2010,Thirty Seconds To Mars,This Is War,2983,326.983
102,2010,Stone Sour,Say You'll Haunt Me,2985,264.373
103,2010,Cage The Elephant,In One Ear,3264,241.32
104,2010,Disturbed,Another Way To Die,3273,253.386
105,2010,Godsmack,Love-Hate-Sex-Pain,3304,315.453
106,2010,Sick Puppies,Odd One,3325,227.04
107,2010,Three Days Grace,Break,3332,99.213
108,2010,Broken Bells,The High Road,3333,232.2
109,2010,Godsmack,Cryin' Like A Bitch!,3387,201.666
110,2010,Five Finger Death Punch,Bad Company,3403,262.44
111,2010,Papa Roach,Kick In The Teeth,3426,167.289
112,2010,Chevelle,Letter From A Thief,3439,207.026
113,2010,The Temper Trap,Sweet Disposition,3469,230.8
114,2010,Sick Puppies,Maybe,3498,170.133
115,2010,My Darkest Days Featuring Zakk Wylde,Porn Star Dancing,3501,199.013
116,2010,Ozzy Osbourne,Let Me Hear You Scream,3522,205.8
117,2010,Breaking Benjamin,Give Me A Sign (Forever And Ever),3582,226.521
118,2010,Brandon Flowers,Crossfire,3615,192.307
119,2010,Three Days Grace,World So Cold,3632,243.0
120,2010,Crash Kings,Mountain Man,3648,238.426
121,2010,Alice In Chains,Lesson Learned,3653,170.866
122,2010,Anberlin,Impossible,3659,209.44
123,2010,Pearl Jam,Just Breathe,3664,215.853
124,2010,Jimmy Eat World,My Best Theory,3666,203.253
125,2010,Stone Temple Pilots,Between The Lines,3674,155.324
126,2010,Jack Johnson,You And Your Heart,3703,192.853
127,2010,Deftones,Diamond Eyes,3719,188.266
128,2010,Apocalyptica Featuring Gavin Rossdale,End Of Me,3726,170.426
129,2010,Slipknot,Snuff,3741,276.146
130,2010,Finger Eleven,Living In A Dream,3742,184.773
131,2010,Switchfoot,The Sound (John M. Perkins' Blues),3746,226.946
132,2010,10 Years,Shoot It Out,3759,128.182
133,2010,Paramore,Brick By Boring Brick,3794,253.946
134,2010,Drowning Pool,Feel Like I Do,3812,195.136
135,2010,Silversun Pickups,The Royal We,3816,287.24
136,2010,Kings Of Leon,Radioactive,3832,186.813
137,2010,Breaking Benjamin,Lights Out,3838,85.463
138,2010,HellYeah,Hell Of A Time,3850,169.202
139,2010,Bullet For My Valentine,Your Betrayal,3856,291.426
140,2010,Flyleaf,Again,3871,312.24
141,2010,Shinedown,If You Only Knew,3873,226.64
142,2010,Thirty Seconds To Mars,Kings And Queens,3885,347.666
143,2010,Muse,Undisclosed Desires,3896,235.0
144,2010,Civil Twilight,Letters From The Sky,3902,275.04
145,2010,Linkin Park,Waiting For The End,3905,231.68
146,2010,Metric,Gold Guns Girls,3971,245.28
147,2010,Five Finger Death Punch,Walk Away,3972,160.56
148,2010,Shaman's Harvest,Dragonfly,4014,179.173
149,2010,Saving Abel,Stupid Girl (Only In Hollywood),4034,258.64
150,2010,Dave Matthews Band,You And Me,4037,195.493
151,2010,Chevelle,Shameful Metaphors,4047,261.76
152,2010,Halestorm,It's Not You,4070,174.92
153,2010,Saving Abel,The Sex Is Good,4090,211.453
154,2010,Sevendust,Unraveling,4098,279.442
155,2010,Vampire Weekend,Cousins,4100,177.449
156,2010,Arcade Fire,Ready To Start,4108,255.906
157,2010,Mudvayne,Scream With Me,4112,172.586
158,2010,John Mayer,Heartbreak Warfare,4112,269.72
159,2010,Linkin Park,The Catalyst,4118,339.853
160,2010,Ozzy Osbourne,Life Won't Wait,4131,228.04
161,2010,One eskimO,Kandi,4136,230.0
162,2010,Cage The Elephant,Back Against The Wall,4137,228.32
163,2010,Against Me!,I Was A Teenage Anarchist,4172,195.16
164,2010,Thirty Seconds To Mars,Closer To The Edge,4175,273.466
165,2010,Edward Sharpe & The Magnetic Zeros,Home,4181,195.32
166,2010,Buckcherry,All Night Long,4192,260.493
167,2010,Puddle Of Mudd,Stoned,4193,188.29
168,2010,American Bang,Wild And Young,4198,216.026
169,2010,Florence + The Machine,Dog Days Are Over,4214,251.84
170,2010,Skillet,Hero,4279,186.813
171,2010,Michael Franti & Spearhead,The Sound Of Sunshine,4284,225.133
172,2010,Ray Lamontagne And The Pariah Dogs,Beg Steal Or Borrow,4284,272.666
173,2010,Weezer,Memories,4286,189.486
174,2010,Cake,Sick Of You,4291,165.0
175,2010,Sick Puppies,You're Going Down,4302,187.346
176,2010,Jack Johnson,At Or With Me,4303,237.84
177,2010,Pearl Jam,Amongst The Waves,4305,238.88
178,2010,Cavo,Crash,4315,190.733
179,2010,The Smashing Pumpkins,Freak,4323,147.062
180,2010,Them Crooked Vultures,New Fang,4328,228.639
181,2010,Cypress Hill Featuring Tom Morello,Rise Up,4336,253.342
182,2010,Hail the Villain,Take Back The Fear,4344,224.426
183,2010,Puddle Of Mudd,Spaceship,4366,324.226
184,2010,Switchfoot,Mess Of Me,4370,208.013
185,2010,Janus,Eyesore,4371,130.044
186,2011,Foster The People,Pumped Up Kicks,929,239.6
187,2011,Foo Fighters,Rope,1198,259.026
188,2011,Cage The Elephant,Shake Me Down,1468,211.373
189,2011,Seether,Country Song,1703,229.72
190,2011,The Black Keys,Howlin' For You,1818,191.8
191,2011,Mumford & Sons,The Cave,2195,217.984
192,2011,AWOLNATION,Sail,2325,259.093
193,2011,Foo Fighters,Walk,2446,198.44
194,2011,Rise Against,Help Is On The Way,2455,237.48
195,2011,Sixx: A.M.,Lies Of The Beautiful People,2637,238.36
196,2011,Stone Sour,Say You'll Haunt Me,3011,264.373
197,2011,Red Hot Chili Peppers,The Adventures Of Rain Dance Maggie,3025,282.4
198,2011,The Black Keys,Tighten Up,3070,211.08
199,2011,Linkin Park,Waiting For The End,3074,231.68
200,2011,Staind,Not Again,3143,140.92
201,2011,Papa Roach,Burn,3150,268.856
202,2011,Seether,Tonight,3227,200.466
203,2011,Bush,The Sound Of Winter,3253,208.8
204,2011,Avenged Sevenfold,So Far Away,3325,243.573
205,2011,Death Cab For Cutie,You Are A Tourist,3329,286.653
206,2011,Rise Against,Make It Stop (September's Children),3357,234.786
207,2011,Sick Puppies,Rip Tide,3372,204.28
208,2011,Mumford & Sons,Roll Away Your Stone,3429,264.009
209,2011,Incubus,Adolescents,3445,288.84
210,2011,The Airborne Toxic Event,Changing,3479,180.705
211,2011,Florence + The Machine,Dog Days Are Over,3502,251.84
212,2011,Mumford & Sons,Little Lion Man,3513,247.002
213,2011,Coldplay,Every Teardrop Is A Waterfall,3529,240.796
214,2011,Theory Of A Deadman,Lowlife,3563,233.626
215,2011,Blink-182,Up All Night,3565,234.333
216,2011,Sublime With Rome,Panic,3584,237.772
217,2011,Adele,Rolling In The Deep,3616,228.093
218,2011,Young The Giant,Cough Syrup,3652,249.52
219,2011,Evanescence,What You Want,3655,242.946
220,2011,Three Days Grace,Lost In You,3658,101.0
221,2011,Shinedown,Diamond Eyes (Boom-Lay Boom-Lay Boom),3670,336.112
222,2011,Adelitas Way,Sick,3685,312.82
223,2011,Alter Bridge,Ghost Of Days Gone By,3701,265.211
224,2011,Young The Giant,My Body,3703,244.4
225,2011,Disturbed,Warrior,3736,170.066
226,2011,Five Finger Death Punch,Under And Over It,3749,218.133
227,2011,Skillet,Awake And Alive,3758,209.493
228,2011,Incubus,"Promises, Promises",3779,225.84
229,2011,Korn Featuring Skrillex,Get Up!,3786,245.786
230,2011,Pop Evil,Monster You Made,3803,221.68
231,2011,Breaking Benjamin,Blow Me Away,3808,205.68
232,2011,Foster The People,Helena Beat,3834,276.173
233,2011,Hollywood Undead,Hear Me Now,3837,194.84
234,2011,Art Of Dying,Die Trying,3840,153.106
235,2011,The Naked And Famous,Young Blood,3855,246.6
236,2011,Stone Sour,Hesitate,3881,251.279
237,2011,Neon Trees,Animal,3882,212.293
238,2011,10 Years,Fix Me,3882,215.84
239,2011,The Joy Formidable,Whirring,3891,200.049
240,2011,The Head And The Heart,Lost In My Mind,3892,259.12
241,2011,Switchfoot,Dark Horses,3900,238.349
242,2011,311,Sunset In July,3921,236.413
243,2011,Coldplay,Paradise,3937,278.719
244,2011,Adele,Rumour Has It,3947,223.266
245,2011,Redlight King,Old Man,3948,181.386
246,2011,Middle Class Rut,New Low,3975,158.792
247,2011,Hinder,What Ya Gonna Do,3975,246.906
248,2011,Papa Roach,No Matter What,3989,180.546
249,2011,Pop Evil,Last Man Standing,4012,155.221
250,2011,Five Finger Death Punch,Far From Home,4021,212.493
251,2011,Avenged Sevenfold,Welcome To The Family,4031,245.573
252,2011,Jane's Addiction,Irresistible Force,4060,240.748
253,2011,All That Remains,The Last Time,4071,299.08
254,2011,Alter Bridge,Isolation,4076,146.666
255,2011,My Chemical Romance,Sing,4077,182.666
256,2011,Volbeat,Fallen,4103,57.818
257,2011,Nickelback,Bottoms Up,4106,242.013
258,2011,Social Distortion,Machine Gun Blues,4125,213.173
259,2011,Fitz And The Tantrums,Money Grabber,4134,211.216
260,2011,Chevelle,Face To The Floor,4163,218.56
261,2011,Adele,Someone Like You,4170,285.24
262,2011,Sixx: A.M.,This Is Gonna Hurt,4178,236.293
263,2011,All That Remains,Hold On,4187,227.88
264,2011,Grouplove,Colours,4213,182.857
265,2011,Kings Of Leon,Pyro,4221,250.533
266,2011,Cake,Long Time,4223,211.773
267,2011,3 Doors Down,When You're Young,4232,256.013
268,2011,The Decemberists,Down By The Water,4256,178.293
269,2011,Disturbed,The Animal,4261,271.28
270,2011,Muse,Undisclosed Desires,4277,235.0
271,2011,Avenged Sevenfold,Buried Alive,4301,404.386
272,2011,The Strokes,Under Cover Of Darkness,4323,235.546
273,2011,Three Days Grace,World So Cold,4331,243.0
274,2011,Beastie Boys,Make Some Noise,4332,210.36
275,2011,Black Stone Cherry,White Trash Millionaire,4333,158.853
276,2011,Amos Lee,Windows Are Rolled Down,4339,237.226
277,2011,Two Door Cinema Club,What You Know,4346,191.706
278,2011,Foo Fighters,These Days,4355,268.565
279,2011,Volbeat,A Warrior's Call,4357,263.08
280,2011,Theory Of A Deadman,Bitch Came Back,4379,219.36
281,2011,Linkin Park,Iridescent,4392,296.56
282,2011,Florence + The Machine,Shake It Out,4393,277.72
283,2011,A Day To Remember,All I Want,4431,225.786
284,2011,Skillet,It's Not Me It's You,4433,204.786
285,2011,Cage The Elephant,Around My Head,4433,191.6
286,2012,Imagine Dragons,It's Time,1560,237.986
287,2012,Grouplove,Tongue Tied,1622,218.013
288,2012,Of Monsters And Men,Little Talks,1767,266.6
289,2012,M83.,Midnight City,1909,241.44
290,2012,The Black Keys,Gold On The Ceiling,2049,224.333
291,2012,The Lumineers,Ho Hey,2078,163.133
292,2012,Foo Fighters,These Days,2097,268.565
293,2012,fun.,Some Nights,2099,277.04
294,2012,Gotye Featuring Kimbra,Somebody That I Used To Know,2151,244.973
295,2012,Alex Clare,Too Close,2341,259.44
296,2012,fun. Featuring Janelle Monae,We Are Young,2560,250.626
297,2012,The Black Keys,Lonely Boy,2783,193.653
298,2012,Linkin Park,Burn It Down,2899,233.869
299,2012,Passion Pit,Take A Walk,2944,264.493
300,2012,Neon Trees,Everybody Talks,2972,177.28
301,2012,Chevelle,Hats Off To The Bull,3068,235.653
302,2012,Shinedown,Bully,3110,242.746
303,2012,Soundgarden,Live To Rise,3274,280.266
304,2012,The Black Keys,Little Black Submarines,3295,251.266
305,2012,Mumford & Sons,I Will Wait,3358,276.72
306,2012,Chevelle,Face To The Floor,3376,218.56
307,2012,The Offspring,Days Go By,3428,165.0
308,2012,AWOLNATION,Kill Your Heroes,3440,178.84
309,2012,Muse,Madness,3572,281.04
310,2012,Shinedown,Unity,3588,249.285
311,2012,Three Days Grace,Chalk Outline,3618,181.986
312,2012,Seether,No Resolution,3641,188.237
313,2012,Red Hot Chili Peppers,Look Around,3653,441.106
314,2012,Silversun Pickups,Bloody Mary (Nerve Endings),3675,310.546
315,2012,Foster The People,Don't Stop (Color On The Walls),3690,174.92
316,2012,Volbeat,Still Counting,3692,261.812
317,2012,Slash Featuring Myles Kennedy And The Conspirators,You're A Lie,3695,230.653
318,2012,Coldplay,Paradise,3703,278.719
319,2012,Adelitas Way,Criticize,3717,182.16
320,2012,Ed Sheeran,The A Team,3721,258.373
321,2012,Godsmack,Rocky Mountain Way,3725,315.4
322,2012,Five Finger Death Punch,Coming Down,3737,213.893
323,2012,Rise Against,Satellite,3767,218.577
324,2012,Bush,The Sound Of Winter,3768,208.8
325,2012,Foo Fighters,Walk,3775,198.44
326,2012,The Shins,Simple Song,3777,255.4
327,2012,P.O.D.,Lost In Forever (Scream),3784,245.64
328,2012,Halestorm,Love Bites (So Do I),3799,191.333
329,2012,The Dirty Heads,Spread Too Thin,3804,180.575
330,2012,Halestorm,I Miss The Misery,3832,183.506
331,2012,Green Day,Oh Love,3834,147.804
332,2012,Linkin Park,Lost In The Echo,3866,205.12
333,2012,WALK THE MOON,Anna Sun,3878,321.28
334,2012,Theory Of A Deadman,Hurricane,3883,222.533
335,2012,The Killers,Runaways,3890,183.563
336,2012,Alabama Shakes,Hold On,3895,227.88
337,2012,Redlight King,Bullet In My Hand,3895,185.786
338,2012,AWOLNATION,Not Your Fault,3897,242.466
339,2012,Nickelback,This Means War,3901,369.293
340,2012,Five Finger Death Punch,Remember Everything,3905,278.813
341,2012,Staind,Eyes Wide Open,3925,192.72
342,2012,Florence + The Machine,"No Light, No Light",3925,274.853
343,2012,Black Stone Cherry,In My Blood,3957,211.36
344,2012,Phillip Phillips,Home,3960,195.32
345,2012,Pop Evil,Boss's Daughter,3961,205.2
346,2012,Youngblood Hawke,We Come Running,3963,248.6
347,2012,Atlas Genius,Trojans,3996,217.386
348,2012,Young The Giant,Cough Syrup,4013,249.52
349,2012,Foxy Shazam,I Like It,4042,253.39
350,2012,All That Remains,The Waiting One,4053,288.186
351,2012,The Gaslight Anthem,45,4098,250.093
352,2012,Foo Fighters,Bridge Burning,4101,286.466
353,2012,Staind,Now,4108,167.014
354,2012,Imagine Dragons,Radioactive,4110,186.813
355,2012,Coldplay,Charlie Brown,4136,285.159
356,2012,Jack White,Love Interruption,4173,157.973
357,2012,Of Monsters And Men,Mountain Sound,4195,211.453
358,2012,Mumford & Sons,Babel,4199,208.933
359,2012,Rise Against,Wait For Me,4201,210.133
360,2012,Volbeat,A Warrior's Call,4214,263.08
361,2012,Stone Sour,Absolute Zero,4222,229.84
362,2012,Bush,Baby Come Home,4222,188.2
363,2012,Switchfoot,Afterlife,4224,352.426
364,2012,The Lumineers,Stubborn Love,4242,279.0
365,2012,Florence + The Machine,Shake It Out,4262,277.72
366,2012,Adele,Set Fire To The Rain,4280,242.973
367,2012,Mumford & Sons,Whispers In The Dark,4292,204.346
368,2012,Red Hot Chili Peppers,The Adventures Of Rain Dance Maggie,4294,282.4
369,2012,Imagine Dragons,Demons,4299,175.2
370,2012,Train,Drive By,4305,195.973
371,2012,Red Hot Chili Peppers,Monarchy Of Roses,4326,251.8
372,2012,Mayer Hawthorne,The Walk,4330,233.133
373,2012,Seether,Here And Now,4335,171.493
374,2012,Papa Roach,Still Swinging,4352,203.293
375,2012,Mumford & Sons,Holland Road,4356,250.84
376,2012,Mumford & Sons,Lover Of The Light,4360,314.893
